location,lat,long,category,time,time_classification,date,description,reported
Gate C,-1.0922,37.0131,assault,04:06,night,2024-11-23,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
Highpoint,-1.1,37.015,murder,07:45,morning,2025-04-28,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,yes
Gate B,-1.0932,37.0125,kidnapping,08:46,morning,2024-08-11,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",yes
JKUAT hostels area,-1.09,37.012,kidnapping,13:19,afternoon,2025-01-09,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",yes
Gachororo,-1.0905,37.0119,sexual harrasment,10:14,morning,2024-06-18,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,no
Cherry Park,-1.0948,37.0106,burglary,00:47,night,2025-03-01,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Main Gate,-1.0925,37.011,drug trafficking,19:30,evening,2024-07-24,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
Cherry Park,-1.0948,37.0106,drug trafficking,12:05,afternoon,2024-11-30,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",yes
Gachororo,-1.0905,37.0119,traffic violations,10:11,morning,2025-04-29,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,domestic violence,02:18,night,2025-01-15,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",no
Juja City Mall,-1.095,37.0165,burglary,10:35,morning,2024-07-19,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
Highpoint,-1.1,37.015,sexual harrasment,00:20,night,2025-05-16,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,no
Juja Police Station,-1.0922,37.0131,drug possession,20:02,evening,2024-09-07,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,traffic violations,22:59,night,2024-05-02,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,sexual harrasment,22:53,night,2024-11-15,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",yes
Juja City Mall,-1.095,37.0165,drug possession,18:23,evening,2024-10-25,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",no
Cherry Park,-1.0948,37.0106,robbery,02:06,night,2024-06-03,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Highpoint,-1.1,37.015,fraud,03:55,night,2024-12-20,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,no
Juja Market,-1.096,37.0175,drug possession,11:21,morning,2024-09-12,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Square,-1.098,37.019,armed robbery,02:31,night,2024-06-18,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,yes
Cherry Park,-1.0948,37.0106,battery,22:51,night,2024-06-06,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,no
Juja City Mall,-1.095,37.0165,robbery,04:07,night,2024-05-28,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",yes
Highpoint,-1.1,37.015,drug trafficking,05:10,night,2025-06-07,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Main Gate,-1.0925,37.011,domestic violence,01:39,night,2024-06-13,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
Juja Square,-1.098,37.019,murder,07:23,morning,2025-06-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",no
Juja Square,-1.098,37.019,murder,12:42,afternoon,2024-09-20,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,yes
Juja Stage,-1.099,37.02,traffic violations,07:18,morning,2024-07-21,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.",no
JKUAT hostels area,-1.09,37.012,burglary,03:41,night,2024-09-04,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,no
JKUAT Hospital,-1.0922,37.0131,drug trafficking,00:06,night,2024-07-25,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
Gate B,-1.0932,37.0125,fraud,04:52,night,2024-11-02,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.",yes
Juja City Mall,-1.095,37.0165,kidnapping,03:40,night,2024-09-22,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.",yes
Juja Stage,-1.099,37.02,reckless driving,22:38,night,2025-02-05,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",no
Highpoint,-1.1,37.015,assault,05:03,night,2025-02-26,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug trafficking,17:07,evening,2025-01-30,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,burglary,02:45,night,2024-12-04,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,yes
JKUAT Main Gate,-1.0925,37.011,sexual harrasment,15:54,afternoon,2024-11-15,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,yes
Gate B,-1.0932,37.0125,armed robbery,23:40,night,2025-03-10,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Enterprises LTD.,-1.0915,37.014,reckless driving,04:03,night,2025-02-15,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.",no
JKUAT hostels area,-1.09,37.012,battery,21:32,night,2024-12-27,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,yes
Juja Police Station,-1.0932,37.0125,assault,23:07,night,2024-09-17,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Gate C,-1.0922,37.0131,traffic violations,22:11,night,2025-04-29,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,no
JKUAT Hospital,-1.097,37.018,drug possession,06:39,morning,2024-12-01,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,no
Juja Stage,-1.099,37.02,sexual harrasment,21:31,night,2024-11-04,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.",no
Juja Market,-1.096,37.0175,battery,17:51,evening,2025-06-16,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
JKUAT Hospital,-1.093,37.0155,assault,03:01,night,2024-05-17,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,yes
Highpoint,-1.1,37.015,fraud,02:25,night,2024-08-30,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT hostels area,-1.09,37.012,armed robbery,00:25,night,2025-06-30,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,yes
Gachororo,-1.0905,37.0119,drug trafficking,06:09,morning,2025-06-22,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,battery,23:38,night,2024-10-19,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
Gate C,-1.0922,37.0131,drug trafficking,12:03,afternoon,2025-06-17,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",no
Highpoint,-1.1,37.015,kidnapping,05:42,night,2024-07-23,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,kidnapping,10:17,morning,2025-02-07,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,yes
Juja Police Station,-1.091,37.0135,drug possession,03:32,night,2025-03-22,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
Juja Square,-1.098,37.019,drug possession,22:21,night,2024-05-07,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",no
Highpoint,-1.1,37.015,fraud,18:47,evening,2025-04-13,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,yes
Gate C,-1.0922,37.0131,sexual harrasment,16:04,afternoon,2024-07-08,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gachororo,-1.0905,37.0119,battery,00:31,night,2024-12-30,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
Juja City Mall,-1.095,37.0165,sexual harrasment,03:42,night,2024-07-21,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,yes
Gate B,-1.0932,37.0125,phone snatching,17:12,evening,2024-12-19,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
Juja Square,-1.098,37.019,traffic violations,15:09,afternoon,2024-11-03,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Main Gate,-1.0925,37.011,phone snatching,10:37,morning,2024-06-12,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
Gate B,-1.0932,37.0125,murder,02:03,night,2025-01-28,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,no
Juja Square,-1.098,37.019,reckless driving,21:25,night,2025-01-21,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,yes
Highpoint,-1.1,37.015,traffic violations,02:47,night,2024-10-17,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Main Gate,-1.0925,37.011,assault,02:22,night,2025-01-05,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Hospital,-1.091,37.0135,drug possession,05:38,night,2025-02-16,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,no
Juja Police Station,-1.093,37.0155,drug possession,21:08,night,2024-11-26,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.",yes
Cherry Park,-1.0948,37.0106,armed robbery,20:01,evening,2025-02-07,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",no
Juja City Mall,-1.095,37.0165,reckless driving,22:03,night,2024-12-13,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,no
Cherry Park,-1.0948,37.0106,drug trafficking,20:09,evening,2024-10-24,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
Gate C,-1.0922,37.0131,drug trafficking,01:13,night,2025-06-20,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",no
Gate B,-1.0932,37.0125,reckless driving,10:43,morning,2025-05-16,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
Gate B,-1.0932,37.0125,burglary,00:25,night,2024-11-29,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
Juja Police Station,-1.098,37.019,drug possession,06:00,morning,2024-12-06,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT hostels area,-1.09,37.012,fraud,10:50,morning,2025-05-04,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",yes
Juja City Mall,-1.095,37.0165,fraud,01:59,night,2024-12-08,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.",no
Juja City Mall,-1.095,37.0165,armed robbery,21:18,night,2024-09-02,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.",yes
Juja Square,-1.098,37.019,reckless driving,23:42,night,2024-06-07,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
Cherry Park,-1.0948,37.0106,sexual harrasment,00:38,night,2024-05-02,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,reckless driving,02:38,night,2024-08-07,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",no
Juja Market,-1.096,37.0175,armed robbery,08:35,morning,2024-05-23,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
Cherry Park,-1.0948,37.0106,armed robbery,08:54,morning,2024-08-03,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",yes
Juja Stage,-1.099,37.02,armed robbery,23:21,night,2024-05-25,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",yes
JKUAT Hospital,-1.098,37.019,drug possession,08:08,morning,2025-05-19,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug trafficking,21:08,night,2025-04-22,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",no
Gate B,-1.0932,37.0125,robbery,03:03,night,2024-06-13,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
Juja Stage,-1.099,37.02,drug possession,11:19,morning,2025-01-13,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.",no
JKUAT Enterprises LTD.,-1.0915,37.014,drug possession,13:49,afternoon,2025-03-09,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Gate B,-1.0932,37.0125,fraud,07:20,morning,2025-01-12,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
Gachororo,-1.0905,37.0119,fraud,06:31,morning,2025-05-20,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.",yes
JKUAT Hospital,-1.097,37.018,drug trafficking,14:01,afternoon,2025-06-19,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT hostels area,-1.09,37.012,armed robbery,01:24,night,2024-11-15,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",yes
JKUAT Main Gate,-1.0925,37.011,sexual harrasment,20:56,evening,2025-02-04,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja City Mall,-1.095,37.0165,assault,14:14,afternoon,2025-03-03,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Stage,-1.099,37.02,robbery,19:10,evening,2025-06-13,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
JKUAT hostels area,-1.09,37.012,burglary,13:48,afternoon,2025-03-24,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
JKUAT Hospital,-1.0948,37.0106,assault,00:11,night,2025-01-22,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.",yes
Gate C,-1.0922,37.0131,sexual harrasment,01:46,night,2024-05-31,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,yes
Juja Police Station,-1.097,37.018,drug trafficking,14:01,afternoon,2025-06-19,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gate B,-1.0932,37.0125,domestic violence,18:48,evening,2024-08-04,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,no
